Party Name,Description,Rate
S.S.PLASTICS,NYLON BUSH,6.1
AMIT TRADING CORPORATION,DAF SPINDLE CAP (UPPER ),4.0
AMIT TRADING CORPORATION,DAF SPINDLE CAP (BOTTOM ),4.0
RSB,THRUST WASHER DOST,0.8
RSB,GREASE NIPPLE COVER,0.07
RSB,LOCATOR,0.5
RSB,590 THRUST WASHER,0.8
RSB,620 THRUST WASHER,0.8
RSB,490 THRUST WASHER,0.8
RSB,403 THRUST WASHER,0.7
RKFL,SAFETY CAP FOR FLANGE OD DIFF CASE-857,15.0
S.S.PLASTICS,DUST CAP (WHITE),1.2
RKFL,PLASTIC CAP DIA 115 MM,3.5
RKFL,PLASTIC CAP DIA 120MM,3.5
RSB,ANTI LOCKING PLATE 490J,4.21
RSB,PROTECTIVE COVER 70 DIA,3.0
RKFL,PLASTIC CAP THREAD DIA 80 MM,4.0
RKFL,"PLASTIC CAP(THREAD 3 1/4"")FOR EGE SPINDL",4.0
TIMKEN,ENTRANCE TUBE CM 647941,2592.0
TIMKEN,INLET TUBE  AM691676,1777.0
TIMKEN,ETRANCE TUBE CM 312612,2592.0
TIMKEN,INLET TUBE  BM647775,1485.0
TIMKEN,ENTRANCE BASE PLATE BM 647184,1300.0
TIMKEN,ENTRANCE BASE SUPPORT PLATE BM 647499,2800.0
TIMKEN,ENTRANCE TUBE MOUNTING BRACKET CM 312676,3500.0
TIMKEN,STOP CYLINDER MOUNTING BRACKET CM 961425,2000.0
RKFL,PLASTIC CAP ITL DIA  141 MM,5.5
RKFL,PLASTIC CAP ITL DIA 193.36 MM,7.95
AMIT TRADING CORPORATION,EGE SPINDLE CAP (UPPER ),4.0
AMIT TRADING CORPORATION,EGE SPINDLE CAP (BOTTOM ),4.0
ALIED INSTRUMENTS & THERMOCOUPLES,SS LANCE 16X11X1110 MM  LONG,235.0
ALIED INSTRUMENTS & THERMOCOUPLES,SS LANCE 16X11X1410MM  LONG,235.0
ALIED INSTRUMENTS & THERMOCOUPLES,SS LANCE 16X11X1710MM  LONG,235.0
ALIED INSTRUMENTS & THERMOCOUPLES,PIN FOR D.S DIE,200.0
RKFL,PLASTIC CAP DIA 70 FOR DANA HUB GEAR,10.75
RKFL,PLASTIC CAP DIA 70,10.75
RKFL,PLASTIC CAP Ø 95.6 FOR HUB GEAR,3.2
ALIED INSTRUMENTS & THERMOCOUPLES,MS PLATE,4.0
RSB,CENTRE BEARING SLINGER 680JT,14.59
TATA MOTORS  LIMITED,HT SHOT BLASTING  HANGER?SYNCHRO PARTS,6820.0
TATA MOTORS  LIMITED,SHOT BLASTING HANGER D/S C/S M/S Ø75,6425.0
TATA MOTORS  LIMITED,SHOT BLASTING HANGER D/S C/S M/S DIA 60,6250.0
TATA MOTORS  LIMITED,L/T FOR BANJO BEAM WITH ADOPTER,7800.0
TATA MOTORS  LIMITED,LIFTING TACKLE FOR CR WHEEL RA-109RR,2150.0
TIMKEN,INLET TUBE  BM 647942,1935.0
TIMKEN,STEEL  TUBE  AM 961804,1935.0
TIMKEN,STEEL  TUBE  AM 961216,1935.0
TATA MOTORS  LIMITED,G680 GB ASSY. LIFTING TACKLE,4425.0
TATA MOTORS  LIMITED,LIFTING TACKLE  FOR  BRAKE DRUM,990.0
RSB,591 THRUST WASHER,0.0
SILICON,KNUCKLE CAP M60,3.25
SILICON,KNUCKLE CAP M44,1.9
TIMKEN,SIZER UIC & AP CONE SERIES,600.0
TIMKEN,CAGE REPAIRING,750.0
RSB,R.H NECK LENGTH,5.0
THE TINPLATE COMPANY OF INDIA  LIMITED,RECONDITIONING OF BRIDLE ROLLS AT ECL1,12300.0
RSB,RUBBER LOCATOR 590JT,0.8
RKFL,PLASTIC SEPARATOR DISC TY OD200 ID50 TH2,6.0
RKFL,PLASTIC CAP FOR PROP SHAFT 156 M95X2,6.15
TIMKEN,WHEEL NUT,500.0
ALIED INSTRUMENTS & THERMOCOUPLES,"SS LANCE  3/4""",550.0
ALIED INSTRUMENTS & THERMOCOUPLES,BAR HOLDER BRACKET,1000.0
RSB,PLASTIC CAP FOR LONG FORK,4.6
ALIED INSTRUMENTS & THERMOCOUPLES,FAB INJECTION PIN,450.0
ALIED INSTRUMENTS & THERMOCOUPLES,PAPER TUBE MENDRAL REPAIRING 2 METER LONG,650.0
SILICON,KNUCKLE CAP M48,2.3
RKFL,PLASTIC CAP(THREAD86)FOR AXLE STAMP,3.5
TATA MOTORS  LIMITED,SHOT BLASTING HANGER  GEARS G950,6250.0
TATA MOTORS  LIMITED,CROWN WHEEL HANGER FOR HT SHOT BLAST,4845.0
TATA MOTORS  LIMITED,LT FOR REAR AXLE UNLOADING,6250.0
TATA MOTORS  LIMITED,LIFTING TACKLE OF FRONT AXLE FOR PAINTING,4125.0
RKFL,PLASTIC COVER SPRING  POT ICF/J&T/SK 1823,24.8
RKFL,PLASTIC CAP DIA 100.3  (RA 110 CASE),4.0
RKFL,PLASTIC CAP DIA 202.5  (RA 110 COVER),6.0
RSB,DUST COVER 490/590 CBB,11.5
THE TINPLATE COMPANY OF INDIA  LIMITED,L.T WHEEL REPAIRING,24000.0
RKFL,PLASTIC CAP FOR DRIVE SHAFT M52X1.5,3.0
RKFL,PLASTIC CAP FOR S-175 OD 265 MM COMMON,14.5
TATA MOTORS  LIMITED,RR CROWN WHEEL TACKLE,3845.0
TATA MOTORS  LIMITED,LIFTING TACKLE FOR DIFFR,3500.0
TATA MOTORS  LIMITED,LIFTING TACKLE -WHAP AXLE  0.7 M POLY SLING,7900.0
RKFL,THREAD PROTECTING CAP M50 X 1.5,3.5
RSB,491 THRUST WASHER,0.0
TIMKEN,REPAIRING OF CHURCHILL WHEEL 2.25X10,8500.0
TIMKEN,590350195 RING-BM-603694/***;,14378.0
RKFL,PLASTIC CAP DIA 85,7.0
